Автор,Название статьи,Категория,Уровень сложности,Время на прочтение (ч.),Количество просмотров (тыс.),Рейтинг,Добавить в закладки,Комментарии
Testograf,"10 советов для создания опросов, которые люди захотят заполнить",Recovery Mode,Простой,0.12,0.755,-1,"
    8
  ",5
vadimray,10 полезных англоязычных ресурсов для программистов,,Простой,0.05,7.2,+6,"
    110
  ",6
alexaae9,Как добавить фон в PDF-документ на языке C#,Перевод,Простой,0.03,2.6,-2,"
    14
  ",0
Ergohaven,Как с помощью 3D-печати создавать девайсы будущего,,Простой,0.03,8.6,+7,"
    23
  ",25
UmarNur,Инженерный калькулятор на C++. Часть 1: Токенизатор математических выражений,Из песочницы,Простой,0.17,8.6,+23,"
    95
  ",7
novikovalegal,Как я использовала идею CYBERPUNK 2077 в договорах с клиентами,Мнение,Простой,0.03,72.0,+153,"
    99
  ",152
ptsecurity,Стилер из торрентов: как скачивание пиратской программы привело к заражению сотен тысяч пользователей,,,0.07,5.0,+9,"
    24
  ",13
glebmachine,Как выстроить удобные процессы в работе с монорепой,Кейс,Средний,0.23,4.2,+6,"
    43
  ",1
melnik909,"HTML и CSS ошибки, влияющие на доступность. Мой опыт и моего незрячего знакомого Ильи. Часть 2",Туториал,Средний,0.13,4.1,+48,"
    58
  ",7
kucev,12 лучших инструментов аннотирования изображений на 2023 год,Перевод,,0.18,1.5,0,"
    24
  ",0
amas1ov,Оптимизация веб-приложений: на что стоит обратить внимание,Обзор,Простой,0.1,3.7,+18,"
    46
  ",4
haron1020,Готов ли Swift OpenAPI Generator для продуктивного кода?,Обзор,,0.28,2.4,+16,"
    11
  ",4
rumin_v_rabote,Великая Октябрьская Киберреволюция. Расследование: как закончилась власть народа на Pikabu. Бунд,Обзор,Простой,0.12,28.0,+54,"
    42
  ",141
ser-mk,Готовим драйвера МК для проброса периферии,Туториал,Сложный,0.2,2.3,+14,"
    57
  ",0
Temcheg,Как мы создаём Squadus: реальна ли выгода от использования open-source?,,,0.12,2.8,+26,"
    24
  ",2
jasiejames,Старые песни о главном и pig butchering,,Простой,0.15,0.758,+7,"
    5
  ",0
Skill_Vortex,"Такие разные типы планирования – зачем нужны, как применять и причем тут вложенные циклы?",Из песочницы,Простой,0.18,6.6,+3,"
    47
  ",6
ser-mk,Хардварный проброс,,Сложный,0.15,5.4,+22,"
    61
  ",20
dionisdimetor,"Теория конструкторов – наука о том, что можно, а что нельзя",,Средний,0.43,5.7,+8,"
    23
  ",5
Matyashevskaya,Как выжать максимум из Confluence. Глава первая,Туториал,Простой,0.17,7.8,+17,"
    61
  ",9
adaev_me,"Зачем вам Employee Experience: как премии, CRM и выдача ноутбуков влияют на прибыль компании",Кейс,Средний,0.15,2.2,+13,"
    15
  ",1
mvideo,Работа с временными рядами в Python. Часть 2,Обзор,Простой,0.17,4.3,+20,"
    66
  ",3
alzotov,Штучная работа. Как мы собрали суперкомпьютер для моделирования новых материалов,Кейс,Средний,0.13,6.2,+38,"
    32
  ",19
IBS_habrablog,Проектирование навигации в интерфейсах аналитических дашбордов,Обзор,Простой,0.22,2.5,+3,"
    30
  ",3
Dmytro_Kikot,Висмут на пальцах: носимое устройство для хранения данных,,,0.25,2.0,+16,"
    14
  ",0
rkablukov,Печать на сетевой принтер без драйверов,Из песочницы,,0.03,4.4,+10,"
    28
  ",35
Cloud4Y,Подводные камни при работе с исполнителем во время аттестации объекта информатизации,Обзор,Средний,0.13,9.1,+5,"
    15
  ",8
dmitry_galkin,Как дизайнеры воруют и почему это нормально,,Простой,0.05,3.7,-2,"
    18
  ",6
ak_khudyakov,Как интегрировать мультиаккаунт в уже работающий сервис и не поломать всё,Кейс,Простой,0.17,0.789,+21,"
    10
  ",0
Ninil,Онбординг. Что такое хорошо?,Ретроспектива,,0.07,3.8,-3,"
    11
  ",16
Gonchar_POTT,У нас в Excel поселился замечательный Python,Кейс,Средний,0.08,39.0,+32,"
    71
  ",65
kononovarseniy,"Рендеринг трёхмерных развязок, мостов и тоннелей для реалистичных карт",,,0.12,8.6,+78,"
    40
  ",22
MaxSidorov,Оптимизируя sequences — или как мой код попал в kotlin,,Сложный,0.2,5.1,+41,"
    29
  ",13
g0rd1,Построение графа покрытия UI-тестами бизнес-логики на основе VisualFSM,Туториал,Простой,0.1,1.1,+4,"
    16
  ",0
Ekamelev,Для кого я на самом деле проектирую интерфейсы?,,,0.05,3.0,+6,"
    19
  ",0
SergVasiliev,Уязвимость XXE в .NET 6 SDK: с чем боролись…,,Средний,0.17,5.4,+20,"
    31
  ",10
Gotlieb,Фильтрация объектов по координатам (широте и долготе),Recovery Mode,Средний,0.07,1.6,+4,"
    28
  ",13
Odin_Himself,Е значит Единство или давайте откажемся от денег,Обзор,Простой,0.32,4.2,-4,"
    25
  ",394
pld,"Простой дизайн-процесс, который работает",Кейс,Простой,0.18,4.9,+2,"
    24
  ",2
dalerank,Процедурная генерация укрытий в играх,,Простой,0.13,6.0,+12,"
    55
  ",0
arzybek,"Как программисту использовать ИИ на практике (Bard, ChatGPT, Midjourney)",Обзор,Простой,0.15,12.0,0,"
    51
  ",40
YarIkGU,OSINT: инструменты,,Средний,0.1,9.8,+12,"
    120
  ",10
aaplpro,Apple Pro Weekly News (16.10 – 22.10.23),Дайджест,,0.2,2.3,+1,"
    0
  ",1
KRlZz,Почему мир Hogwarts Legacy похож на цветной картон (Часть II),Аналитика,Простой,0.13,5.9,+2,"
    7
  ",9
Friflex_dev,Flutter Yandex Mapkit: как внедрить основные инструменты Яндекс Карт в проект на Flutter. Часть 1,Туториал,Средний,0.27,1.9,+2,"
    16
  ",13
Everland,Обзор невизуальной доступности смартфонов под управлением операционной системы Android,Из песочницы,Простой,0.15,2.3,+4,"
    10
  ",8
Kutush,"VBA, Windows 10: манипуляция файлами с длинными путями",Из песочницы,Простой,0.07,3.2,+5,"
    17
  ",16
document_moscow,Шаблон Технического задания по ГОСТ 34,Аналитика,Средний,0.03,7.8,-12,"
    37
  ",22
KKK_56,Правильный мониторинг API: метрики и лучшие практики,,,0.12,3.5,+16,"
    52
  ",6
Andrey_Biryukov,Совмещаем социнженерию и технический пентест,Обзор,Простой,0.08,1.9,+8,"
    34
  ",2
PumpIT,Интервью с разработчиками мультитула для хакеров и пентестеров Flipper Zero,Интервью,Простой,0.35,22.0,+49,"
    65
  ",30
ph_piter,Книга «Искусство Agile-разработки. Теория и практика гибкой разработки ПО»,,,0.22,3.6,+6,"
    28
  ",1
kvaps,Restic: эффективное резервное копирование из Stdin,,,0.08,2.3,+9,"
    37
  ",3
anastasiy_y,Путешествие прошлого: что ели моряки и воины в пути,Ретроспектива,Простой,0.12,8.7,+11,"
    41
  ",56
skovalev,Новые процессоры AMD обогнали аналоги от Intel? Знакомство с Ryzen Threadripper,Обзор,,0.07,11.0,+35,"
    15
  ",11
Guren302,"«Окей, бумер» — как шутеры в ретро-стилистике потеряли самобытность",Мнение,Простой,0.13,9.4,+51,"
    52
  ",29
horo69,One week offer для системных аналитиков и аналитиков данных — с 7 по 10 ноября,,,0.03,5.0,+5,"
    5
  ",4
MaxRokatansky,Организация колл-центра технической поддержки,Туториал,Средний,0.1,0.948,+4,"
    16
  ",2
YuryButenko,Зачем главному транспортному институту Москвы собственная IT-команда,Кейс,Простой,0.1,2.3,+15,"
    10
  ",7
RockAce,Об одном способе анализа смысловой нагрузки научно-технической литературы,Из песочницы,Простой,0.25,0.906,-3,"
    15
  ",0
pluzanov,PostgreSQL 17: Часть 2 или Коммитфест 2023-09,,Средний,0.18,3.6,+14,"
    12
  ",1
EkaterinaMz,Как ранжируются сайты в тематике «Туризм»?,Аналитика,Средний,0.05,0.57,-3,"
    2
  ",0
blognetology,Где нас нет: как живут айтишники на Северо-Западе России,,,0.27,12.0,+13,"
    27
  ",14
ProQualityCommunity,"Лидерство в тестировании: тестирование, основанное на рисках",Перевод,Средний,0.18,2.7,0,"
    23
  ",0
Pavel_Koryakin,"Контекстная реклама на локальном рынке: 3 решения, которые помогут выжать максимум и поднять прибыль минимум в 2 раза",Из песочницы,Простой,0.07,0.959,+1,"
    3
  ",1
nikita_pogodin,"Потерял месяц согласований, психанул. Теперь только платные брифы",Из песочницы,,0.07,6.3,+8,"
    21
  ",26
evil_HFT,"Чёрный рынок звёздочек на GitHub, который помогает читерить с популярностью",Перевод,,0.12,5.7,+9,"
    19
  ",9
Petr0v1,"Космические проекты от Индии: высадка на Луну, венерианский орбитальный спутник и орбитальная станция. Это реально?",,,0.07,2.0,+21,"
    9
  ",1
badcasedaily1,Как устроен GIL (Global Interpreter Lock) в Python: влияние на многозадачность и производительность,Обзор,Простой,0.2,6.9,+9,"
    75
  ",16
yooteam,Техлид в ЮMoney: как не растерять техническую экспертизу и научиться управлять людьми,Мнение,Простой,0.07,0.846,-2,"
    4
  ",0
JasperJhons,"Что будет с мобильными релизами, если улучшать и автоматизировать процессы",,,0.22,4.2,+6,"
    20
  ",0
Marfa-Marfa,Выявление схожести между произведением искусства из коллекции музея и работами автора методами ML,Из песочницы,Простой,0.22,1.1,+6,"
    15
  ",2
OlgaRode,"Киберпреступник глазами российских психологов: черты, мотивы, ценности, отклонения",,Простой,0.23,6.8,+19,"
    38
  ",19
SnezhSh,Автоматизация бизнес-процессов в Heflo: настройка форм,Туториал,Простой,0.07,1.5,+10,"
    10
  ",0
mshalenko,Переезд монолита в k8s. Делаем каршеринг cloud native,Кейс,Средний,0.12,5.1,+15,"
    44
  ",18
winfox_tech,Делай продукт и бросай его в воду. История собственной лоу-код платформы в трех актах,Ретроспектива,Средний,0.13,3.0,+5,"
    15
  ",4
DubokAleksandr,Как запатентовать изобретение и заработать на этом,Из песочницы,Простой,0.12,2.7,+2,"
    25
  ",3
vaintrub,Отказоустойчивая архитектура: почему Tarantool не падает?,Туториал,,0.13,5.5,+40,"
    50
  ",0
Zyxel_Tech,Быстро поднимаем беспроводную сеть в отеле,Кейс,Простой,0.2,7.5,+3,"
    38
  ",0
Saveliy,Когнитивные искажения в программировании,,,0.08,13.0,+25,"
    83
  ",6
itglobalcom,Как выбрать GPU для машинного обучения,,,0.08,8.1,+2,"
    41
  ",16
iliazeus,Как и почему я писал для Флиппера на Си-с-классами,Кейс,Средний,0.13,11.0,+56,"
    83
  ",8
Sashapuchkov,Как концепция ЕОМ и графический конфигуратор моделей в ZIIoT облегчают жизнь промышленным разработчикам,,Средний,0.08,0.471,+1,"
    3
  ",0
Kit_Cat,Диффузионные модели в CV. Что за зверь?,Обзор,Простой,0.12,5.5,+6,"
    31
  ",0
virtual_explorer,"Разработан инструмент, позволяющий художникам «отравлять» свой контент для ИИ",,,0.07,11.0,+26,"
    31
  ",33
kriptokarino,Выгорание на работе: что это такое и по каким причинам происходит,Мнение,Простой,0.08,4.5,+20,"
    46
  ",7
555www555,Гирокарт «Тачанка» дешевле 1000р,Кейс,Простой,0.05,5.5,+28,"
    41
  ",19
Maxilect,"Как мы мигрировали сервера в новый дата-центр и, кажется, не сошли с ума",Кейс,Простой,0.15,3.1,+2,"
    11
  ",4
uzikoff,Новый тип универсальных тонкопленочных антинакипных выпарных аппаратов,Из песочницы,Средний,0.23,1.4,+9,"
    13
  ",9
ProductivityInside,Требовать от разработчиков урезать сроки – всё равно что торговаться с метеорологом о погоде,Перевод,Простой,0.07,2.7,+2,"
    17
  ",13
SimbirSoft_frontend,"9 алгоритмов сортировки и поиска для JS, о которых вас спросят на собеседовании",Обзор,Средний,0.25,19.0,+3,"
    147
  ",19
alexisayenko,Криптография с открытым ключом: ключи RSA,Перевод,Средний,0.38,4.8,+18,"
    80
  ",1
DVAMM,Техлид в DS-команде: зачем софт-скиллы и у кого есть право на ошибку,,,0.23,1.4,+11,"
    17
  ",5
bodyawm,Эти кристаллы доживают последние деньки — почему мощные процессоры и видеокарты середины нулевых умирают?,Ретроспектива,Простой,0.15,101.0,+131,"
    114
  ",143
RomanSeleznev,Метадерево как инструмент для выбора средства визуализации,Туториал,Простой,0.07,1.2,+3,"
    11
  ",0
MaxRokatansky,Vue 3: Ваше первое знакомство с компонентом Transition,Перевод,,0.05,1.7,+7,"
    21
  ",0
AlexAgree,Анализ 10 000 вопросов с технических интервью: частотность и вероятность встречи,Из песочницы,Простой,0.05,28.0,+48,"
    208
  ",18
dr_bob_davidov,Устранение “шумов” LabVIEW при приеме USB/СОМ данных,Аналитика,Средний,0.05,0.687,0,"
    7
  ",18
AlexLive27,Игра-планировщик без опыта программирования: мини-пост-апокалипсис в гугл-таблице,,,0.08,2.0,+7,"
    20
  ",5
NigrumKross,Без работы не останемся: к 2030 году ИИ добавит семь новых профессий,Перевод,,0.15,7.7,+18,"
    10
  ",2
IZ_SOC,Короткий путь от джуна до SOC-аналитика,,Простой,0.17,4.2,+44,"
    54
  ",3
anton-artemenko,Как работает врачебная тайна,,,0.18,9.6,+54,"
    46
  ",72
xngel,Порядок создания технического задания для разработки информационной системы,Роадмэп,Средний,0.37,3.9,+4,"
    54
  ",16
artnek,Все проблемы проекта в одной диаграмме: как с помощью Kaiten построить диаграмму потока,Туториал,Простой,0.17,2.7,+3,"
    15
  ",3
NewTechAudit,LLM'ы в преобразовании запроса на естественном языке в SQL (text2sql),Обзор,Средний,0.15,3.4,+14,"
    28
  ",7
tw0face,"Доставка еды в поезд, подбор сериала с помощью ИИ, создание дипфейков без интернета и другие российские стартапы",Дайджест,,0.07,1.8,+6,"
    18
  ",5
dprotopopov,"Пусть говорят, что хабр не торт, или небольшое социологическое (само-) исследование",Аналитика,Простой,0.05,1.8,+4,"
    11
  ",29
vsile,Визуализация результатов Telegram-опросов в Grafana,Обзор,Простой,0.05,3.7,+12,"
    31
  ",5
EasyFirm,"Как вести бизнес в США, не сжигая российский паспорт",Роадмэп,Простой,0.08,8.5,+10,"
    60
  ",47
klee0kai,Stone: знакомство с API,Туториал,Средний,0.18,3.5,0,"
    16
  ",4
SLY_G,"Дайджест научпоп-новостей за неделю, о которых мы ничего не писали",Дайджест,,0.12,4.4,+25,"
    14
  ",7
Syurmakov,"Дайджест новостей из мира будущего, машинного обучения, роботов и искусственного интеллекта за начало осени",,,0.03,3.4,+8,"
    22
  ",8
Digital_Academy,Как проложить универсальные рельсы рабочих процессов и запустить по ним большую компанию?,Кейс,,0.1,2.5,-1,"
    10
  ",2
Debrod,Большая подборка открытых API,Из песочницы,Простой,0.03,11.0,+10,"
    214
  ",3
badcasedaily1,Как применять метод PCA для уменьшения размерности данных,Обзор,Средний,0.15,3.8,+15,"
    66
  ",16
gromspys,Управление зависимостями в микросервисной архитектуре,,Средний,0.03,7.3,-6,"
    25
  ",6
BiktorSergeev,Радиостанция точного времени с 84-летней историей закрывается из-за проблем с точностью. Что насчёт современных систем?,,,0.05,12.0,+22,"
    16
  ",35
MaxRokatansky,"Малоизвестные библиотеки Python для анализа данных, которые сделают вашу жизнь проще",Обзор,Средний,0.23,20.0,+20,"
    226
  ",4
Forzadoropey,С чего начать процессы антифрода в организации,,Простой,0.15,1.9,+6,"
    22
  ",1
DrZub,Тестируем отечественную систему виртуализации: zVirt,Обзор,,0.2,14.0,+10,"
    39
  ",44
drema201,Использование bpftrace для трассировки выполнения запросов в postgres,Перевод,Сложный,0.13,0.485,+2,"
    9
  ",2
CyberexTech,«Глупый» электросчетчик VS умный дом или как интегрировать электросчетчик без смарт функций в Home Assistant,Кейс,Простой,0.1,18.0,+32,"
    110
  ",80
kmoseenk,Пишем чистые тесты на JavaScript с использованием принципов BASIC,Перевод,,0.27,2.2,+14,"
    40
  ",1
Lexus08,Что внутри ноутбука Ninkear A16? Разборка игровой модели на базе Ryzen 7 7735HS,Обзор,Средний,0.08,4.4,+5,"
    8
  ",23
NapoleonIT,Как провести анализ рекламных креативов с помощью генеративных сетей,Recovery Mode,,0.22,0.79,-3,"
    7
  ",0
Revertis,Предстоящий выпуск Yggdrasil v0.5,Перевод,Средний,0.15,4.2,+26,"
    15
  ",2
kucev,Почему важна разметка данных: в основе ChatGPT лежит труд людей,Перевод,,0.07,2.4,-2,"
    5
  ",5
Kaspersky_Lab,Security Week 2343: новый инцидент в компании Okta,,,0.05,1.6,+8,"
    2
  ",0
badcasedaily1,Как реализовать систему рекомендаций на сайте просмотра кино,Обзор,Простой,0.22,1.3,+7,"
    40
  ",0
gregyku,"Фантазии, которые сбылись: какие отечественные писатели предсказали технологии будущего?",Обзор,Простой,0.08,5.5,+10,"
    23
  ",29
ru_vds,Как зловредные приложения могут скрывать работу с буфером обмена в Android 14,Перевод,Средний,0.13,4.0,+43,"
    47
  ",3
motaev,Труд,Recovery Mode,,0.05,1.2,-7,"
    4
  ",3
mr-pickles,"«Да» — расписаниям, «нет» — спискам дел",Перевод,Простой,0.23,26.0,+18,"
    113
  ",28
igorvarnavsky,"Уход в сингулярность. Как написать нетленку, которая наберет сотни тысяч или миллионы просмотров",Туториал,Простой,0.07,1.6,0,"
    17
  ",5
prctmlm,Программисты с аллергией на предметную область,Мнение,Простой,0.07,14.0,+17,"
    42
  ",98
Suvitruf,"Недельный геймдев: #144 — 22 октября, 2023",Дайджест,Простой,0.12,2.1,+9,"
    6
  ",4
iliasam,Новая жизнь старого GPS-приёмника,Кейс,Средний,0.3,19.0,+81,"
    75
  ",37
Cloud4Y,Микифон: карманный проигрыватель пластинок,Обзор,Простой,0.05,7.5,+40,"
    13
  ",6
bda_0,Экспорт статьи из LibreOffice Writer в Habr Flavored Markdown или HTML,Из песочницы,Простой,0.13,1.6,+19,"
    30
  ",13
itglobalcom,Ученые из MIT: биологические и искусственные нейронные системы воспринимают информацию по-разному,Обзор,,0.07,8.2,+4,"
    30
  ",4
divolko3,Спёкшиеся папирусы из Геркуланума поддаются чтению благодаря сверхточному сканированию и искусственному интеллекту,,,0.07,3.0,+27,"
    14
  ",0
Indemsys,Мёртвое время. Как не ошибиться при настройке ШИМ в Renesas Synergy,,Средний,0.2,2.0,+10,"
    15
  ",2
ushim,Как офисное освещение влияет на продуктивность,,,0.1,2.7,+12,"
    22
  ",4
yanorm,"3 шага, чтобы снизить стресс в команде: инструкция для руководителей и тех, кто не хочет сойти с ума на работе",,,0.08,4.0,+1,"
    27
  ",3
aio350,Особенности кодировки строк в Base64 в JavaScript,Перевод,Сложный,0.1,4.2,+8,"
    54
  ",3
Zyxel_South,Университет: как разрешить доступ к сайту по URL в любой точке сети,Кейс,Простой,0.12,5.2,+1,"
    31
  ",7
alizar,Управление Linux-сервером — самая ценная инвестиция,Мнение,Простой,0.1,57.0,+94,"
    341
  ",117
evil_HFT,"Мы использовали слишком много абстракций, и будущее выглядит мрачным",Перевод,,0.08,22.0,+51,"
    69
  ",21
ProjectIT,"Помог себе, помоги другому: мой опыт менторства в IT",Мнение,,0.08,3.3,+1,"
    21
  ",5
Khidik,Как материнство сформировало меня как лучшего тестировщика,Перевод,Простой,0.15,1.9,-3,"
    10
  ",1
Dragonek,Service Workers против медленного интернета: Кэширование и улучшение UX,Обзор,Средний,0.15,2.5,+4,"
    53
  ",2
ArtemLoginov1,"Как из вакансии понять, что наниматель-муд**: 5 признаков",Мнение,,0.05,52.0,+87,"
    107
  ",584
Ni_Bar,Моделирование систем электромобиля,Обзор,,0.03,1.8,+3,"
    13
  ",7
vangogih,Архитектура unity проектов,Мнение,Средний,0.15,6.4,+11,"
    58
  ",18
VTB,"«Большие вызовы» в «Сириусе», или как мы обычно проводим лето",,,0.1,1.3,+6,"
    9
  ",1
BogdanPetrov,Анализ вакансий и портрет специалиста по качеству данных,,,0.15,1.5,+2,"
    14
  ",2
virtual_explorer,На складах Amazon начинают работать гуманоидные роботы,,,0.1,9.5,+31,"
    14
  ",124
wwakabobik,Опыт использования AI для QA: тестировщикам приготовиться на выход?,Обзор,Средний,0.32,10.0,+6,"
    50
  ",18
akocherovskiy,"Русский LLM-помощник (saiga) с кэшем, используя RAG (Retrieval-Augmented Generation)",,Средний,0.15,3.2,+7,"
    33
  ",9
rvnikita,Digital-мероприятия в Москве c 23 по 29 октября,Дайджест,,0.03,0.582,-1,"
    0
  ",1
evebelka,False или не false?,Аналитика,Простой,0.12,1.1,+8,"
    10
  ",0
SovaSova15,Введение в data science: инструменты и методы анализа,Перевод,Простой,0.12,5.1,+2,"
    54
  ",1
Maximov_psy,"Сделай хобби работой и тебе… придется искать и хобби, и работу",,,0.15,24.0,+52,"
    87
  ",72
Saitcraft77,Фрилансеры vs агентство: как не угробить SEO и сразу сделать все правильно?,Recovery Mode,Средний,0.12,0.805,-5,"
    6
  ",5
mvideo,Работа с временными рядами в Python. Часть 1,Обзор,Простой,0.22,7.4,+20,"
    103
  ",2
Eibelkov,Confluence — агрегация данных таблицы,Туториал,Средний,0.1,1.8,+4,"
    12
  ",2
AndreyBN95,Реализация экранов авторизации и регистрации с помощью Custom View и Firebase,Туториал,Простой,0.33,1.5,+1,"
    20
  ",2
ProductivityInside,Мобильная разработка за неделю #511 (16 — 22 октября),Дайджест,,0.08,2.1,+3,"
    11
  ",0
OlegSivchenko,VR-тренажёры и иммерсивное обучение,,,0.17,2.0,+10,"
    12
  ",2
tako_man,Как получить оффер на 180к с помощью ChatGPT?,Кейс,Простой,0.12,37.0,+10,"
    62
  ",69
BarsMonster,Делаем 10-минутную задачу за 2 часа с помощью ChatGPT,Кейс,Простой,0.08,68.0,+65,"
    67
  ",34
dyshess,Почему вам не нужны Citizen-Developers в RPA разработке,Мнение,Простой,0.07,2.8,-6,"
    3
  ",8
dprotopopov,Изучаем Q#. Статистическое сравнение двух последовательностей чисел,Туториал,Средний,0.15,1.8,+1,"
    14
  ",3
Lendcore,"Варианты развития QA специалиста если вы еще линейный специалист, но уже «у потолка»",FAQ,Простой,0.1,6.8,-2,"
    15
  ",7
Pavelgram,"Telegram собирает и продает МТС личные данные своих пользователей, или не все так плохо?",,Простой,0.08,6.0,+3,"
    8
  ",28
ProductStarMain,Python-разработчик: из новичка в профессионалы. Как начать свой путь в освоении языка?,,Простой,0.1,13.0,-12,"
    60
  ",7
Tzimie,Очень большие числа в физике,,Средний,0.05,25.0,+57,"
    49
  ",87
GlobalSign_admin,Какую информацию современный автомобиль собирает о водителе и пассажирах,,,0.08,8.1,+26,"
    26
  ",62
DAN_SEA,Электромагнетизм и некоторые интересные явления и процессы,Обзор,Простой,0.2,11.0,+47,"
    76
  ",31
402d,Читаем/записываем файл в Андроиде без запроса пермишинсов,Туториал,Простой,0.03,5.5,+7,"
    54
  ",17
vkomen,YAR — Yet another relativity,,Средний,0.15,4.4,+10,"
    12
  ",22
nikolz,Стек протоколов BLE 5 -физический уровень,,Простой,0.15,3.0,+16,"
    41
  ",12
MikeKozlovAVR,"Мал, да удал. ASCADA. Простейшая система диспетчеризации (SCADA) для Arduino и других микроконтроллеров",Из песочницы,Простой,0.15,16.0,+25,"
    64
  ",45
Efimov_pr,Как настроить оптимальную модель работы с заказчиками текстов: пять правил для комфортной коммуникации,Туториал,Средний,0.25,0.72,+1,"
    10
  ",2
panyukovnikolay,Распределённые транзакции,Перевод,Средний,0.17,17.0,+19,"
    205
  ",1
KivApple,Тест производительности Web-фреймворков для Rust,Обзор,Средний,0.15,6.5,+14,"
    29
  ",12
SiplatovKirill,Airflow в Kubernetes. Часть 1,Из песочницы,Средний,0.17,4.9,+7,"
    69
  ",6
Cryptorguru,Стандарт ERC 20,Из песочницы,,0.05,0.885,-5,"
    5
  ",1
divolko3,Гибридные транзисторы с использованием паутины и электронных компонентов: что это такое и как работает,,,0.07,5.2,+11,"
    16
  ",11
Bright_Translate,Пишем графический ASCII-калькулятор с помощью стандартной библиотеки Си,Перевод,Сложный,0.28,12.0,+72,"
    86
  ",25
OSINT_mindset,"Подборка кино и сериалов про шпионов, разведку и OSINT",Дайджест,Простой,0.15,5.8,+11,"
    64
  ",21
beszedin,Взлетаем на backend: наш путь к победе в номинации «Лучший backend-разработчик» на хакатоне от ООО «Лента» и ЯП,Из песочницы,Простой,0.2,4.8,+1,"
    20
  ",0
tarlakovsky,Комбинация кислорода и метана может раскрыть наличие жизни в другом мире,Перевод,Простой,0.1,1.8,+5,"
    6
  ",0
d_bratskikh,SCICITE — P2P площадка продвижения научных статей,Обзор,Простой,0.03,0.839,-2,"
    9
  ",2
ocaseyclub,Продуктовые кейсы на собеседовании: какие бывают и как их решать,Из песочницы,Простой,0.12,8.0,+4,"
    35
  ",0
beeline_cloud,"Чтение на выходные: DIY-материалы о контейнерах, DevOps и архитектуре — личный опыт напрямую от специалистов",Дайджест,,0.08,4.9,+3,"
    60
  ",0
GeeksCat,"Хотели сделать Alan Wake 2, а вышло…",Обзор,Простой,0.2,13.0,+32,"
    13
  ",3
nikolz,Варианты беспроводного подключения для приложений интернета вещей — сравнение технологий,Перевод,Простой,0.08,3.2,+2,"
    28
  ",6
Artuiu,Технологии бортовой сети костюма телеприсутствия: исследование и разработка,Из песочницы,Средний,0.17,0.776,+2,"
    7
  ",4
AzamatKomaev,Практическое руководство по созданию Helm чарта или как избавиться от рутины при работе с YAML манифестами,Туториал,Средний,0.35,8.1,+10,"
    104
  ",8
Razzer,Go 1.21: пакет slices,Обзор,Простой,0.03,3.0,+5,"
    16
  ",8
DRoman0v,"Галлий, германий, а теперь и графит: Китай понемногу ограничивает экспорт ценных ресурсов. Зачем это КНР?",,,0.07,14.0,+62,"
    26
  ",45
Offensive,Проклятые Земли. Изменяем движок игры! Подробности + ПРИМЕР реверсинга движка,,,0.35,12.0,+99,"
    67
  ",48
Testograf,50 вопросов для опроса клиентов для вашего вдохновения,Мнение,,0.1,1.6,+6,"
    13
  ",3
petuhoff,MATLAB Simulink и SimInTech на MacBook Pro M2 Max,Мнение,Простой,0.22,3.1,+8,"
    7
  ",14
ElonReeveMusk,Как Starlink меняет мир: Главные преимущества и выгоды для пользователей,Обзор,Простой,0.13,6.6,-22,"
    5
  ",17
vadim_samara,Создание искусственного интеллекта для игры Баше без нейронных сетей,Туториал,Простой,0.13,2.0,0,"
    33
  ",2
AlexSmithPsy,Природа тревоги и дерево невроза,Из песочницы,Средний,0.22,3.3,+2,"
    49
  ",9
day-d,Шпаргалки для сервера CS:GO,Из песочницы,Средний,0.27,3.9,+8,"
    29
  ",13
lomovtsevdn,Весы Nokia-Edition,,,0.07,7.3,+12,"
    21
  ",31
pharma_is_my_karma,Как Data Science помогает разрабатывать лекарства,Из песочницы,Простой,0.17,1.6,+8,"
    20
  ",14
comerc,Шпаргалка по событийному моделированию,Перевод,,0.07,4.3,+3,"
    59
  ",1
VASExperts,"FCC, общественный интернет и 5G: что с сетевым нейтралитетом",Аналитика,,0.1,1.8,+3,"
    7
  ",4
SergeyDesenko,Как мы удвоили разрешение фотографий с помощью камеры Flutter на iOS,Из песочницы,Средний,0.08,3.2,+6,"
    16
  ",8
Alkash-kolyadun,Как создать API в облаке менее чем в 200 строках кода,Перевод,Сложный,0.22,9.8,+14,"
    89
  ",1
Holmogorov,Итальянцы в России и не только. История Olivetti,Ретроспектива,Простой,0.13,7.6,+49,"
    30
  ",41
IvanGrigorjev,"Что бывает, когда в настольный футбол играют разработчики: проапгрейдили не только игру, но и корпоративную культуру",Кейс,Простой,0.07,1.7,+5,"
    8
  ",7
pld,"Как и почему AI изменит работу дизайнера, но не заменит его",Из песочницы,Простой,0.1,13.0,+9,"
    15
  ",22
lartyom,Психический симулятор или Triumvirate of Hearts,Из песочницы,Средний,0.07,1.8,+4,"
    9
  ",2
magalimovaaa,Первые шаги в тест-дизайне: Разбираемся в базовых техниках QA,Из песочницы,Простой,0.08,7.8,+5,"
    61
  ",5
divolko3,Microsoft научилась сохранять данные в стекле: 7 Тб не предел. Но у корпорации есть и другие разработки,,,0.07,13.0,+41,"
    31
  ",37
Erwinmal,Sovietwave и Sovietpunk: как романтика несбывшегося переплавила ностальгию по СССР в новый жанр? Часть 2,Обзор,Простой,0.1,12.0,+77,"
    79
  ",47
